Aikajakso 01.01.2016 - 31.12.2016,Sähkönkulutus mitattu kWh,Päiväsähkönkulutus (klo 07-22) mitattu kWh,Yösähkönkulutus (klo 22-07) mitattu kWh,Lämpötila °C,"Pörssisähkön hinta, sis. alv snt/kWh",
la 17.09.2016 13:00 - 14:00,0.722,0.722,0.000,10.40,3.56,
la 17.09.2016 14:00 - 15:00,0.498,0.498,0.000,11.30,3.34,
la 17.09.2016 15:00 - 16:00,0.521,0.521,0.000,10.80,3.22,
la 17.09.2016 16:00 - 17:00,2.487,2.487,0.000,11.20,3.25,
la 17.09.2016 17:00 - 18:00,1.996,1.996,0.000,10.80,3.39,
la 17.09.2016 18:00 - 19:00,2.672,2.672,0.000,9.90,3.60,
la 17.09.2016 19:00 - 20:00,1.015,1.015,0.000,8.00,3.95,
la 17.09.2016 20:00 - 21:00,0.802,0.802,0.000,4.80,5.08,
la 17.09.2016 21:00 - 22:00,0.697,0.697,0.000,2.60,3.68,
la 17.09.2016 22:00 - 23:00,2.640,0.000,2.640,1.50,3.33,
la 17.09.2016 23:00 - 00:00,3.433,0.000,3.433,0.90,3.09,
su 18.09.2016 00:00 - 01:00,3.352,0.000,3.352,0.10,2.93,
su 18.09.2016 01:00 - 02:00,3.379,0.000,3.379,-0.40,2.92,
su 18.09.2016 02:00 - 03:00,1.517,0.000,1.517,-0.30,2.79,
su 18.09.2016 03:00 - 04:00,1.103,0.000,1.103,-0.90,2.79,
su 18.09.2016 04:00 - 05:00,1.048,0.000,1.048,-1.20,2.79,
su 18.09.2016 05:00 - 06:00,0.265,0.000,0.265,-1.20,2.83,
su 18.09.2016 06:00 - 07:00,0.250,0.000,0.250,-1.30,2.85,
su 18.09.2016 07:00 - 08:00,0.312,0.312,0.000,-1.20,2.92,
su 18.09.2016 08:00 - 09:00,0.883,0.883,0.000,-0.30,3.05,
su 18.09.2016 09:00 - 10:00,1.462,1.462,0.000,2.00,3.08,
su 18.09.2016 10:00 - 11:00,0.962,0.962,0.000,4.60,3.20,
su 18.09.2016 11:00 - 12:00,0.707,0.707,0.000,7.70,3.43,
su 18.09.2016 12:00 - 13:00,0.591,0.591,0.000,10.80,3.46,
su 18.09.2016 13:00 - 14:00,0.565,0.565,0.000,12.00,3.44,
su 18.09.2016 14:00 - 15:00,0.702,0.702,0.000,12.60,3.35,
su 18.09.2016 15:00 - 16:00,1.369,1.369,0.000,11.70,3.33,
su 18.09.2016 16:00 - 17:00,1.433,1.433,0.000,11.90,3.30,
su 18.09.2016 17:00 - 18:00,1.090,1.090,0.000,11.90,3.37,
su 18.09.2016 18:00 - 19:00,0.852,0.852,0.000,11.20,3.45,
su 18.09.2016 19:00 - 20:00,0.650,0.650,0.000,9.90,3.95,
su 18.09.2016 20:00 - 21:00,1.848,1.848,0.000,6.60,4.37,
su 18.09.2016 21:00 - 22:00,1.539,1.539,0.000,4.90,4.23,
su 18.09.2016 22:00 - 23:00,1.519,0.000,1.519,4.00,3.86,
su 18.09.2016 23:00 - 00:00,4.592,0.000,4.592,3.10,3.46,
ma 19.09.2016 00:00 - 01:00,3.776,0.000,3.776,2.70,3.16,
ma 19.09.2016 01:00 - 02:00,3.860,0.000,3.860,2.20,3.05,
ma 19.09.2016 02:00 - 03:00,3.544,0.000,3.544,2.60,2.99,
ma 19.09.2016 03:00 - 04:00,0.747,0.000,0.747,3.50,2.95,
ma 19.09.2016 04:00 - 05:00,0.756,0.000,0.756,2.70,2.85,
ma 19.09.2016 05:00 - 06:00,1.802,0.000,1.802,2.00,2.94,
ma 19.09.2016 06:00 - 07:00,2.537,0.000,2.537,2.10,3.25,
ma 19.09.2016 07:00 - 08:00,1.083,1.083,0.000,5.50,4.35,
ma 19.09.2016 08:00 - 09:00,0.813,0.813,0.000,6.10,5.25,
ma 19.09.2016 09:00 - 10:00,0.726,0.726,0.000,6.30,5.53,
ma 19.09.2016 10:00 - 11:00,0.611,0.611,0.000,8.70,5.44,
ma 19.09.2016 11:00 - 12:00,0.870,0.870,0.000,10.40,5.45,
ma 19.09.2016 12:00 - 13:00,1.453,1.453,0.000,11.60,5.45,
ma 19.09.2016 13:00 - 14:00,0.895,0.895,0.000,11.60,5.39,
ma 19.09.2016 14:00 - 15:00,0.435,0.435,0.000,12.60,5.07,
ma 19.09.2016 15:00 - 16:00,0.419,0.419,0.000,11.80,4.67,
ma 19.09.2016 16:00 - 17:00,1.069,1.069,0.000,12.50,4.70,
ma 19.09.2016 17:00 - 18:00,0.532,0.532,0.000,12.10,4.68,
ma 19.09.2016 18:00 - 19:00,0.845,0.845,0.000,12.40,4.86,
ma 19.09.2016 19:00 - 20:00,1.497,1.497,0.000,12.30,4.95,
ma 19.09.2016 20:00 - 21:00,1.096,1.096,0.000,11.40,5.39,
ma 19.09.2016 21:00 - 22:00,0.733,0.733,0.000,10.80,4.85,
ma 19.09.2016 22:00 - 23:00,1.864,0.000,1.864,10.60,3.72,
ma 19.09.2016 23:00 - 00:00,3.743,0.000,3.743,10.00,3.47,
ti 20.09.2016 00:00 - 01:00,4.169,0.000,4.169,9.10,3.23,
ti 20.09.2016 01:00 - 02:00,2.823,0.000,2.823,9.60,3.10,
ti 20.09.2016 02:00 - 03:00,1.336,0.000,1.336,9.60,3.08,
ti 20.09.2016 03:00 - 04:00,0.745,0.000,0.745,9.30,2.92,
ti 20.09.2016 04:00 - 05:00,0.746,0.000,0.746,8.70,2.92,
ti 20.09.2016 05:00 - 06:00,0.806,0.000,0.806,8.50,2.98,
ti 20.09.2016 06:00 - 07:00,1.787,0.000,1.787,8.30,3.21,
ti 20.09.2016 07:00 - 08:00,1.718,1.718,0.000,8.30,4.28,
ti 20.09.2016 08:00 - 09:00,1.514,1.514,0.000,8.60,5.21,
ti 20.09.2016 09:00 - 10:00,0.591,0.591,0.000,8.60,5.44,
ti 20.09.2016 10:00 - 11:00,0.572,0.572,0.000,8.90,5.36,
ti 20.09.2016 11:00 - 12:00,0.579,0.579,0.000,9.30,5.36,
ti 20.09.2016 12:00 - 13:00,0.541,0.541,0.000,10.00,5.23,
ti 20.09.2016 13:00 - 14:00,0.962,0.962,0.000,10.60,4.74,
ti 20.09.2016 14:00 - 15:00,1.363,1.363,0.000,11.30,4.52,
ti 20.09.2016 15:00 - 16:00,0.779,0.779,0.000,11.80,4.24,
ti 20.09.2016 16:00 - 17:00,0.866,0.866,0.000,12.10,4.28,
ti 20.09.2016 17:00 - 18:00,0.762,0.762,0.000,12.20,4.47,
ti 20.09.2016 18:00 - 19:00,1.075,1.075,0.000,12.10,4.50,
ti 20.09.2016 19:00 - 20:00,1.404,1.404,0.000,12.00,5.06,
ti 20.09.2016 20:00 - 21:00,1.782,1.782,0.000,11.60,5.76,
ti 20.09.2016 21:00 - 22:00,1.730,1.730,0.000,11.30,4.34,
ti 20.09.2016 22:00 - 23:00,2.049,0.000,2.049,11.20,4.02,
ti 20.09.2016 23:00 - 00:00,3.673,0.000,3.673,11.20,3.54,
ke 21.09.2016 00:00 - 01:00,3.573,0.000,3.573,10.60,3.23,
ke 21.09.2016 01:00 - 02:00,3.533,0.000,3.533,10.70,3.15,
ke 21.09.2016 02:00 - 03:00,0.576,0.000,0.576,10.40,3.09,
ke 21.09.2016 03:00 - 04:00,1.421,0.000,1.421,10.20,2.99,
ke 21.09.2016 04:00 - 05:00,1.278,0.000,1.278,10.00,3.01,
ke 21.09.2016 05:00 - 06:00,0.526,0.000,0.526,10.20,3.06,
ke 21.09.2016 06:00 - 07:00,0.720,0.000,0.720,10.10,3.27,
ke 21.09.2016 07:00 - 08:00,0.697,0.697,0.000,10.10,4.23,
ke 21.09.2016 08:00 - 09:00,0.581,0.581,0.000,9.90,4.90,
ke 21.09.2016 09:00 - 10:00,1.064,1.064,0.000,10.10,5.36,
ke 21.09.2016 10:00 - 11:00,1.387,1.387,0.000,10.80,5.36,
ke 21.09.2016 11:00 - 12:00,0.788,0.788,0.000,10.90,5.34,
ke 21.09.2016 12:00 - 13:00,0.483,0.483,0.000,11.40,5.34,
ke 21.09.2016 13:00 - 14:00,0.486,0.486,0.000,11.60,5.34,
ke 21.09.2016 14:00 - 15:00,0.361,0.361,0.000,11.70,5.34,
ke 21.09.2016 15:00 - 16:00,0.273,0.273,0.000,12.10,3.97,
ke 21.09.2016 16:00 - 17:00,1.239,1.239,0.000,12.50,4.07,
ke 21.09.2016 17:00 - 18:00,2.194,2.194,0.000,12.70,4.33,
ke 21.09.2016 18:00 - 19:00,1.315,1.315,0.000,13.60,4.26,
ke 21.09.2016 19:00 - 20:00,0.647,0.647,0.000,12.80,4.74,
ke 21.09.2016 20:00 - 21:00,0.635,0.635,0.000,12.60,5.37,
ke 21.09.2016 21:00 - 22:00,0.913,0.913,0.000,12.00,4.20,
ke 21.09.2016 22:00 - 23:00,2.080,0.000,2.080,11.50,3.94,
ke 21.09.2016 23:00 - 00:00,4.498,0.000,4.498,11.00,3.53,
to 22.09.2016 00:00 - 01:00,2.033,0.000,2.033,10.20,3.24,
to 22.09.2016 01:00 - 02:00,0.461,0.000,0.461,9.40,3.21,
to 22.09.2016 02:00 - 03:00,0.672,0.000,0.672,8.80,3.11,
to 22.09.2016 03:00 - 04:00,1.465,0.000,1.465,6.90,3.07,
to 22.09.2016 04:00 - 05:00,1.383,0.000,1.383,6.80,3.02,
to 22.09.2016 05:00 - 06:00,1.601,0.000,1.601,6.30,3.08,
to 22.09.2016 06:00 - 07:00,1.694,0.000,1.694,5.50,3.39,
to 22.09.2016 07:00 - 08:00,0.836,0.836,0.000,6.00,4.64,
to 22.09.2016 08:00 - 09:00,0.615,0.615,0.000,6.30,5.38,
to 22.09.2016 09:00 - 10:00,0.686,0.686,0.000,7.70,6.06,
to 22.09.2016 10:00 - 11:00,1.472,1.472,0.000,8.30,6.19,
to 22.09.2016 11:00 - 12:00,1.408,1.408,0.000,9.10,5.88,
to 22.09.2016 12:00 - 13:00,0.555,0.555,0.000,9.00,5.15,
to 22.09.2016 13:00 - 14:00,0.544,0.544,0.000,8.80,4.70,
to 22.09.2016 14:00 - 15:00,0.551,0.551,0.000,9.00,4.51,
to 22.09.2016 15:00 - 16:00,0.558,0.558,0.000,9.10,4.05,
to 22.09.2016 16:00 - 17:00,1.751,1.751,0.000,9.40,4.09,
to 22.09.2016 17:00 - 18:00,1.851,1.851,0.000,9.30,4.33,
to 22.09.2016 18:00 - 19:00,1.530,1.530,0.000,9.10,4.32,
to 22.09.2016 19:00 - 20:00,1.173,1.173,0.000,8.90,5.20,
to 22.09.2016 20:00 - 21:00,0.855,0.855,0.000,8.40,6.56,
to 22.09.2016 21:00 - 22:00,0.913,0.913,0.000,8.50,4.19,
to 22.09.2016 22:00 - 23:00,2.528,0.000,2.528,7.50,3.86,
to 22.09.2016 23:00 - 00:00,4.667,0.000,4.667,8.00,3.33,
pe 23.09.2016 00:00 - 01:00,4.257,0.000,4.257,7.80,3.21,
pe 23.09.2016 01:00 - 02:00,3.866,0.000,3.866,7.50,3.20,
pe 23.09.2016 02:00 - 03:00,1.108,0.000,1.108,7.20,3.11,
pe 23.09.2016 03:00 - 04:00,0.742,0.000,0.742,6.90,3.06,
pe 23.09.2016 04:00 - 05:00,0.816,0.000,0.816,7.00,3.07,
pe 23.09.2016 05:00 - 06:00,1.665,0.000,1.665,7.10,3.14,
pe 23.09.2016 06:00 - 07:00,1.605,0.000,1.605,7.20,3.40,
pe 23.09.2016 07:00 - 08:00,1.015,1.015,0.000,7.30,5.20,
pe 23.09.2016 08:00 - 09:00,1.025,1.025,0.000,7.40,5.36,
pe 23.09.2016 09:00 - 10:00,1.685,1.685,0.000,7.50,5.46,
pe 23.09.2016 10:00 - 11:00,1.372,1.372,0.000,7.40,5.37,
pe 23.09.2016 11:00 - 12:00,1.612,1.612,0.000,7.50,5.37,
pe 23.09.2016 12:00 - 13:00,2.875,2.875,0.000,7.60,5.37,
pe 23.09.2016 13:00 - 14:00,2.044,2.044,0.000,8.10,5.37,
pe 23.09.2016 14:00 - 15:00,1.267,1.267,0.000,8.70,4.71,
pe 23.09.2016 15:00 - 16:00,1.737,1.737,0.000,8.90,3.84,
pe 23.09.2016 16:00 - 17:00,0.582,0.582,0.000,8.90,3.83,
pe 23.09.2016 17:00 - 18:00,0.526,0.526,0.000,9.00,4.23,
pe 23.09.2016 18:00 - 19:00,1.648,1.648,0.000,9.00,4.12,
pe 23.09.2016 19:00 - 20:00,1.495,1.495,0.000,9.20,4.70,
pe 23.09.2016 20:00 - 21:00,0.494,0.494,0.000,9.20,6.10,
pe 23.09.2016 21:00 - 22:00,0.499,0.499,0.000,9.00,3.72,
pe 23.09.2016 22:00 - 23:00,0.885,0.000,0.885,9.00,3.45,
pe 23.09.2016 23:00 - 00:00,3.346,0.000,3.346,9.00,3.23,
la 24.09.2016 00:00 - 01:00,3.308,0.000,3.308,8.50,3.13,
la 24.09.2016 01:00 - 02:00,3.270,0.000,3.270,8.10,3.18,
la 24.09.2016 02:00 - 03:00,3.261,0.000,3.261,7.70,3.06,
la 24.09.2016 03:00 - 04:00,1.739,0.000,1.739,7.80,3.02,
la 24.09.2016 04:00 - 05:00,0.909,0.000,0.909,7.70,3.11,
la 24.09.2016 05:00 - 06:00,1.105,0.000,1.105,7.50,3.06,
la 24.09.2016 06:00 - 07:00,0.195,0.000,0.195,7.70,3.05,
la 24.09.2016 07:00 - 08:00,0.248,0.248,0.000,7.80,3.18,
la 24.09.2016 08:00 - 09:00,0.512,0.512,0.000,7.70,3.31,
la 24.09.2016 09:00 - 10:00,0.545,0.545,0.000,7.90,3.59,
la 24.09.2016 10:00 - 11:00,0.886,0.886,0.000,8.20,3.96,
la 24.09.2016 11:00 - 12:00,1.936,1.936,0.000,8.60,3.84,
la 24.09.2016 12:00 - 13:00,2.161,2.161,0.000,8.90,3.84,
la 24.09.2016 13:00 - 14:00,1.399,1.399,0.000,9.50,3.69,
la 24.09.2016 14:00 - 15:00,0.512,0.512,0.000,9.60,3.65,
la 24.09.2016 15:00 - 16:00,0.566,0.566,0.000,9.60,3.39,
la 24.09.2016 16:00 - 17:00,1.259,1.259,0.000,9.90,3.41,
la 24.09.2016 17:00 - 18:00,1.626,1.626,0.000,9.80,3.56,
la 24.09.2016 18:00 - 19:00,1.536,1.536,0.000,9.30,3.84,
la 24.09.2016 19:00 - 20:00,0.723,0.723,0.000,9.10,3.95,
la 24.09.2016 20:00 - 21:00,0.621,0.621,0.000,9.00,4.56,
la 24.09.2016 21:00 - 22:00,0.555,0.555,0.000,8.60,3.84,
la 24.09.2016 22:00 - 23:00,2.982,0.000,2.982,8.00,3.52,
la 24.09.2016 23:00 - 00:00,3.710,0.000,3.710,8.00,3.29,
su 25.09.2016 00:00 - 01:00,1.755,0.000,1.755,7.70,3.16,
su 25.09.2016 01:00 - 02:00,1.232,0.000,1.232,7.40,3.10,
su 25.09.2016 02:00 - 03:00,0.510,0.000,0.510,7.20,2.92,
su 25.09.2016 03:00 - 04:00,0.516,0.000,0.516,6.80,2.82,
su 25.09.2016 04:00 - 05:00,0.514,0.000,0.514,6.70,2.74,
su 25.09.2016 05:00 - 06:00,0.621,0.000,0.621,6.60,2.82,
su 25.09.2016 06:00 - 07:00,1.628,0.000,1.628,6.60,2.84,
su 25.09.2016 07:00 - 08:00,1.387,1.387,0.000,7.00,2.84,
su 25.09.2016 08:00 - 09:00,0.956,0.956,0.000,7.50,2.95,
su 25.09.2016 09:00 - 10:00,1.584,1.584,0.000,8.30,3.11,
su 25.09.2016 10:00 - 11:00,1.201,1.201,0.000,9.20,3.26,
su 25.09.2016 11:00 - 12:00,0.454,0.454,0.000,10.00,3.31,
su 25.09.2016 12:00 - 13:00,0.483,0.483,0.000,11.50,3.35,
su 25.09.2016 13:00 - 14:00,1.358,1.358,0.000,13.20,3.26,
su 25.09.2016 14:00 - 15:00,1.223,1.223,0.000,12.30,3.22,
su 25.09.2016 15:00 - 16:00,0.507,0.507,0.000,13.60,3.16,
su 25.09.2016 16:00 - 17:00,0.426,0.426,0.000,12.90,3.16,
su 25.09.2016 17:00 - 18:00,0.411,0.411,0.000,13.10,3.19,
su 25.09.2016 18:00 - 19:00,0.565,0.565,0.000,11.80,3.36,
su 25.09.2016 19:00 - 20:00,2.248,2.248,0.000,11.70,3.74,
su 25.09.2016 20:00 - 21:00,1.901,1.901,0.000,10.10,4.20,
su 25.09.2016 21:00 - 22:00,1.482,1.482,0.000,8.80,3.68,
su 25.09.2016 22:00 - 23:00,1.994,0.000,1.994,9.70,3.34,
su 25.09.2016 23:00 - 00:00,3.580,0.000,3.580,8.70,3.15,
ma 26.09.2016 00:00 - 01:00,3.339,0.000,3.339,7.60,3.04,
ma 26.09.2016 01:00 - 02:00,3.303,0.000,3.303,7.90,2.94,
ma 26.09.2016 02:00 - 03:00,1.832,0.000,1.832,8.70,2.92,
ma 26.09.2016 03:00 - 04:00,0.450,0.000,0.450,8.40,2.90,
ma 26.09.2016 04:00 - 05:00,1.096,0.000,1.096,7.40,2.89,
ma 26.09.2016 05:00 - 06:00,0.793,0.000,0.793,8.10,2.91,
ma 26.09.2016 06:00 - 07:00,1.530,0.000,1.530,8.30,3.16,
ma 26.09.2016 07:00 - 08:00,0.499,0.499,0.000,9.50,4.65,
ma 26.09.2016 08:00 - 09:00,0.244,0.244,0.000,10.00,5.34,
ma 26.09.2016 09:00 - 10:00,0.160,0.160,0.000,10.50,5.53,
ma 26.09.2016 10:00 - 11:00,0.566,0.566,0.000,10.60,5.95,
ma 26.09.2016 11:00 - 12:00,1.072,1.072,0.000,11.20,5.58,
ma 26.09.2016 12:00 - 13:00,0.648,0.648,0.000,12.20,5.42,
ma 26.09.2016 13:00 - 14:00,0.234,0.234,0.000,12.50,5.42,
ma 26.09.2016 14:00 - 15:00,0.227,0.227,0.000,13.30,5.50,
ma 26.09.2016 15:00 - 16:00,0.212,0.212,0.000,13.00,4.02,
ma 26.09.2016 16:00 - 17:00,0.560,0.560,0.000,13.00,4.34,
ma 26.09.2016 17:00 - 18:00,1.581,1.581,0.000,13.80,5.34,
ma 26.09.2016 18:00 - 19:00,2.150,2.150,0.000,13.70,5.21,
ma 26.09.2016 19:00 - 20:00,1.292,1.292,0.000,12.40,5.42,
ma 26.09.2016 20:00 - 21:00,0.388,0.388,0.000,12.00,6.94,
ma 26.09.2016 21:00 - 22:00,0.462,0.462,0.000,11.90,4.01,
ma 26.09.2016 22:00 - 23:00,3.526,0.000,3.526,12.20,3.75,
ma 26.09.2016 23:00 - 00:00,3.369,0.000,3.369,11.90,3.57,
ti 27.09.2016 00:00 - 01:00,1.892,0.000,1.892,12.00,3.35,
ti 27.09.2016 01:00 - 02:00,1.257,0.000,1.257,11.60,3.28,
ti 27.09.2016 02:00 - 03:00,0.535,0.000,0.535,11.80,3.22,
ti 27.09.2016 03:00 - 04:00,0.310,0.000,0.310,11.50,3.23,
ti 27.09.2016 04:00 - 05:00,0.488,0.000,0.488,11.00,3.23,
ti 27.09.2016 05:00 - 06:00,0.355,0.000,0.355,10.80,3.34,
ti 27.09.2016 06:00 - 07:00,2.339,0.000,2.339,10.80,3.57,
ti 27.09.2016 07:00 - 08:00,1.436,1.436,0.000,10.70,4.15,
ti 27.09.2016 08:00 - 09:00,0.784,0.784,0.000,10.50,5.28,
ti 27.09.2016 09:00 - 10:00,0.381,0.381,0.000,10.70,5.37,
ti 27.09.2016 10:00 - 11:00,0.343,0.343,0.000,10.80,5.37,
ti 27.09.2016 11:00 - 12:00,0.397,0.397,0.000,11.30,5.36,
ti 27.09.2016 12:00 - 13:00,0.617,0.617,0.000,12.80,5.36,
ti 27.09.2016 13:00 - 14:00,1.226,1.226,0.000,14.30,5.36,
ti 27.09.2016 14:00 - 15:00,0.708,0.708,0.000,14.70,5.36,
ti 27.09.2016 15:00 - 16:00,0.278,0.278,0.000,15.20,4.06,
ti 27.09.2016 16:00 - 17:00,0.553,0.553,0.000,11.70,4.07,
ti 27.09.2016 17:00 - 18:00,1.299,1.299,0.000,11.70,5.08,
ti 27.09.2016 18:00 - 19:00,0.682,0.682,0.000,11.20,4.97,
ti 27.09.2016 19:00 - 20:00,2.610,2.610,0.000,11.60,5.07,
ti 27.09.2016 20:00 - 21:00,1.581,1.581,0.000,11.80,5.36,
ti 27.09.2016 21:00 - 22:00,0.613,0.613,0.000,11.60,3.58,
ti 27.09.2016 22:00 - 23:00,1.278,0.000,1.278,11.70,3.27,
ti 27.09.2016 23:00 - 00:00,3.540,0.000,3.540,12.50,3.10,
ke 28.09.2016 00:00 - 01:00,3.392,0.000,3.392,12.80,2.89,
ke 28.09.2016 01:00 - 02:00,1.185,0.000,1.185,12.40,2.52,
ke 28.09.2016 02:00 - 03:00,0.865,0.000,0.865,12.10,2.33,
ke 28.09.2016 03:00 - 04:00,1.241,0.000,1.241,12.20,2.01,
ke 28.09.2016 04:00 - 05:00,0.448,0.000,0.448,12.00,1.82,
ke 28.09.2016 05:00 - 06:00,0.354,0.000,0.354,12.10,1.85,
ke 28.09.2016 06:00 - 07:00,0.529,0.000,0.529,12.20,2.98,
ke 28.09.2016 07:00 - 08:00,1.329,1.329,0.000,12.20,3.91,
ke 28.09.2016 08:00 - 09:00,1.466,1.466,0.000,12.10,4.35,
ke 28.09.2016 09:00 - 10:00,1.239,1.239,0.000,12.00,4.71,
ke 28.09.2016 10:00 - 11:00,0.993,0.993,0.000,12.50,4.88,
ke 28.09.2016 11:00 - 12:00,0.434,0.434,0.000,12.60,4.72,
ke 28.09.2016 12:00 - 13:00,0.323,0.323,0.000,13.00,4.52,
ke 28.09.2016 13:00 - 14:00,0.484,0.484,0.000,13.20,4.44,
ke 28.09.2016 14:00 - 15:00,0.831,0.831,0.000,13.40,4.21,
ke 28.09.2016 15:00 - 16:00,1.365,1.365,0.000,13.30,3.57,
ke 28.09.2016 16:00 - 17:00,1.476,1.476,0.000,12.70,3.96,
ke 28.09.2016 17:00 - 18:00,1.482,1.482,0.000,11.90,3.91,
ke 28.09.2016 18:00 - 19:00,0.687,0.687,0.000,11.50,3.99,
ke 28.09.2016 19:00 - 20:00,0.727,0.727,0.000,11.30,4.96,
ke 28.09.2016 20:00 - 21:00,0.505,0.505,0.000,11.00,5.33,
ke 28.09.2016 21:00 - 22:00,1.486,1.486,0.000,10.90,3.38,
ke 28.09.2016 22:00 - 23:00,2.926,0.000,2.926,10.80,3.18,
ke 28.09.2016 23:00 - 00:00,3.684,0.000,3.684,10.70,3.00,
to 29.09.2016 00:00 - 01:00,3.341,0.000,3.341,10.80,2.73,
to 29.09.2016 01:00 - 02:00,0.649,0.000,0.649,10.90,2.47,
to 29.09.2016 02:00 - 03:00,0.189,0.000,0.189,10.80,2.00,
to 29.09.2016 03:00 - 04:00,0.271,0.000,0.271,10.20,2.31,
to 29.09.2016 04:00 - 05:00,0.620,0.000,0.620,10.20,1.81,
to 29.09.2016 05:00 - 06:00,1.181,0.000,1.181,9.70,1.84,
to 29.09.2016 06:00 - 07:00,0.805,0.000,0.805,10.00,3.64,
to 29.09.2016 07:00 - 08:00,0.369,0.369,0.000,10.10,4.33,
to 29.09.2016 08:00 - 09:00,0.183,0.183,0.000,10.10,5.28,
to 29.09.2016 09:00 - 10:00,0.264,0.264,0.000,10.50,5.36,
to 29.09.2016 10:00 - 11:00,0.376,0.376,0.000,10.50,5.28,
to 29.09.2016 11:00 - 12:00,1.195,1.195,0.000,11.00,5.11,
to 29.09.2016 12:00 - 13:00,1.038,1.038,0.000,12.10,4.96,
to 29.09.2016 13:00 - 14:00,0.259,0.259,0.000,13.40,4.96,
to 29.09.2016 14:00 - 15:00,0.338,0.338,0.000,13.20,4.95,
to 29.09.2016 15:00 - 16:00,0.253,0.253,0.000,14.00,3.82,
to 29.09.2016 16:00 - 17:00,1.099,1.099,0.000,12.20,4.25,
to 29.09.2016 17:00 - 18:00,1.544,1.544,0.000,11.50,3.93,
to 29.09.2016 18:00 - 19:00,1.730,1.730,0.000,11.20,3.79,
to 29.09.2016 19:00 - 20:00,0.883,0.883,0.000,10.20,4.59,
to 29.09.2016 20:00 - 21:00,0.705,0.705,0.000,9.70,4.75,
to 29.09.2016 21:00 - 22:00,0.896,0.896,0.000,9.40,3.26,
to 29.09.2016 22:00 - 23:00,3.005,0.000,3.005,9.80,3.10,
to 29.09.2016 23:00 - 00:00,4.568,0.000,4.568,10.10,2.81,
pe 30.09.2016 00:00 - 01:00,4.192,0.000,4.192,10.70,2.09,
pe 30.09.2016 01:00 - 02:00,1.043,0.000,1.043,11.00,2.04,
pe 30.09.2016 02:00 - 03:00,0.529,0.000,0.529,10.70,1.99,
pe 30.09.2016 03:00 - 04:00,0.629,0.000,0.629,10.40,1.85,
pe 30.09.2016 04:00 - 05:00,0.583,0.000,0.583,9.70,1.79,
pe 30.09.2016 05:00 - 06:00,0.849,0.000,0.849,9.90,2.43,
pe 30.09.2016 06:00 - 07:00,1.944,0.000,1.944,10.10,3.14,
pe 30.09.2016 07:00 - 08:00,1.361,1.361,0.000,10.10,3.57,
pe 30.09.2016 08:00 - 09:00,0.395,0.395,0.000,10.20,4.54,
pe 30.09.2016 09:00 - 10:00,0.555,0.555,0.000,10.30,4.90,
pe 30.09.2016 10:00 - 11:00,0.510,0.510,0.000,10.70,4.96,
pe 30.09.2016 11:00 - 12:00,0.564,0.564,0.000,10.80,4.94,
pe 30.09.2016 12:00 - 13:00,1.569,1.569,0.000,10.90,4.95,
pe 30.09.2016 13:00 - 14:00,1.396,1.396,0.000,10.90,4.99,
pe 30.09.2016 14:00 - 15:00,0.645,0.645,0.000,11.20,4.64,
pe 30.09.2016 15:00 - 16:00,0.720,0.720,0.000,11.40,3.39,
pe 30.09.2016 16:00 - 17:00,1.301,1.301,0.000,10.80,4.33,
pe 30.09.2016 17:00 - 18:00,1.242,1.242,0.000,10.90,4.51,
pe 30.09.2016 18:00 - 19:00,3.142,3.142,0.000,11.20,4.63,
pe 30.09.2016 19:00 - 20:00,1.939,1.939,0.000,11.20,5.33,
pe 30.09.2016 20:00 - 21:00,2.285,2.285,0.000,11.30,5.56,
pe 30.09.2016 21:00 - 22:00,1.028,1.028,0.000,11.20,3.41,
pe 30.09.2016 22:00 - 23:00,2.141,0.000,2.141,11.10,3.25,
pe 30.09.2016 23:00 - 00:00,3.616,0.000,3.616,10.30,3.10,
la 01.10.2016 00:00 - 01:00,3.287,0.000,3.287,9.90,3.05,
la 01.10.2016 01:00 - 02:00,3.304,0.000,3.304,9.30,2.87,
la 01.10.2016 02:00 - 03:00,1.053,0.000,1.053,8.90,2.84,
la 01.10.2016 03:00 - 04:00,0.196,0.000,0.196,8.20,2.84,
la 01.10.2016 04:00 - 05:00,0.219,0.000,0.219,6.30,2.85,
la 01.10.2016 05:00 - 06:00,1.122,0.000,1.122,5.10,2.87,
la 01.10.2016 06:00 - 07:00,0.844,0.000,0.844,4.50,2.93,
la 01.10.2016 07:00 - 08:00,0.323,0.323,0.000,5.30,3.07,
la 01.10.2016 08:00 - 09:00,0.425,0.425,0.000,5.20,3.43,
la 01.10.2016 09:00 - 10:00,0.631,0.631,0.000,6.40,3.88,
la 01.10.2016 10:00 - 11:00,0.376,0.376,0.000,7.90,4.19,
la 01.10.2016 11:00 - 12:00,0.423,0.423,0.000,8.80,4.20,
la 01.10.2016 12:00 - 13:00,1.296,1.296,0.000,9.60,4.20,
la 01.10.2016 13:00 - 14:00,1.646,1.646,0.000,9.50,4.16,
la 01.10.2016 14:00 - 15:00,0.825,0.825,0.000,9.80,3.87,
la 01.10.2016 15:00 - 16:00,1.100,1.100,0.000,10.10,3.66,
la 01.10.2016 16:00 - 17:00,1.600,1.600,0.000,10.40,3.48,
la 01.10.2016 17:00 - 18:00,1.937,1.937,0.000,10.60,3.79,
